date_time,price,buy_time,sell_time
2016/9/11,621.65,621.65,
2016/9/12,609.67,,
2016/9/13,610.92,,
2016/9/14,608.82,,
2016/9/15,610.38,,
2016/9/16,609.11,,
2016/9/17,607.04,,
2016/9/18,611.58,,
2016/9/19,610.19,,
2016/9/20,608.66,,
2016/9/21,598.88,,
2016/9/22,597.42,,
2016/9/23,594.08,,
2016/9/24,603.88,,
2016/9/25,601.74,,
2016/9/26,598.98,,
2016/9/27,605.96,,
2016/9/28,605.67,,
2016/9/29,603.85,,
2016/9/30,609.39,,
2016/10/1,614.82,,
2016/10/2,612.98,,
2016/10/3,611.85,,
2016/10/4,609.62,,
2016/10/5,607.18,,
2016/10/6,612.08,,
2016/10/7,617.21,,
2016/10/8,614.74,,
2016/10/9,615.65,,
2016/10/10,617.54,,
2016/10/11,614.77,,
2016/10/12,635.01,,
2016/10/13,635.96,,
2016/10/14,634.02,,
2016/10/15,637.94,,
2016/10/16,641.42,,
2016/10/17,638.97,,
2016/10/18,636.29,,
2016/10/19,629.25,,
2016/10/20,627.72,,
2016/10/21,631.92,,
2016/10/22,655.48,,
2016/10/23,653.25,,
2016/10/24,651.39,,
2016/10/25,655.31,,
2016/10/26,651.45,,
2016/10/27,682.22,,
2016/10/28,687.68,,
2016/10/29,685.91,,
2016/10/30,698,,
2016/10/31,702,,
2016/11/1,697.01,,
2016/11/2,733.33,,
2016/11/3,686.17,,
2016/11/4,683.69,,
2016/11/5,704.79,,
2016/11/6,712,,
2016/11/7,709.96,,
2016/11/8,708.97,,
2016/11/9,720.93,,
2016/11/10,721.5,,
2016/11/11,715.45,,
2016/11/12,703.71,,703.71
2016/11/13,702.28,,
2016/11/14,706.46,,
2016/11/15,710.91,,
2016/11/16,711.73,,
2016/11/17,736.96,,
2016/11/18,747.52,,
2016/11/19,748.98,,
2016/11/20,729.06,,
2016/11/21,738.53,,
2016/11/22,736.97,,
2016/11/23,741.63,,
2016/11/24,737.45,,
2016/11/25,735.64,,
2016/11/26,733.67,,
2016/11/27,727.96,,
2016/11/28,727.31,,
2016/11/29,732.71,,
2016/11/30,742.69,,
2016/12/1,742.05,,
2016/12/2,772.43,,
2016/12/3,764.33,,
2016/12/4,762.97,,
2016/12/5,754.63,,
2016/12/6,756.62,,
2016/12/7,758.99,,
2016/12/8,769.72,,
2016/12/9,770.02,,
2016/12/10,769.08,,
2016/12/11,777,,
2016/12/12,777,,
2016/12/13,777.99,,
2016/12/14,774.89,,
2016/12/15,776.75,,
2016/12/16,775.88,,
2016/12/17,788.7,,
2016/12/18,788.4,788.4,
2016/12/19,788.67,,
2016/12/20,793.09,,
2016/12/21,824.21,,
2016/12/22,834.97,,
2016/12/23,901.31,,
2016/12/24,891.61,,
2016/12/25,892.6,,
2016/12/26,897.33,,
2016/12/27,930.37,,
2016/12/28,930.34,,
2016/12/29,963.38,,
2016/12/30,952.15,,
2016/12/31,958.12,,
2017/1/1,997.72,,
2017/1/2,1015.97,,
2017/1/3,1013.42,,
2017/1/4,1126.76,,
2017/1/5,994.67,,
2017/1/6,999.65,,
2017/1/7,896.83,,896.83
2017/1/8,908.14,,
2017/1/9,910.49,,
2017/1/10,906.05,,
2017/1/11,785.22,,
2017/1/12,780.92,,
2017/1/13,826.29,,
2017/1/14,817.91,,
2017/1/15,819.55,,
2017/1/16,830.5,,
2017/1/17,903.84,,
2017/1/18,906.6,,
2017/1/19,895.798875,,
2017/1/20,893.6210875,,
2017/1/21,895.64,,
2017/1/22,918.603625,918.603625,
2017/1/23,922.0736125,,
2017/1/24,919.97,,
2017/1/25,893.045625,,
2017/1/26,915.95625,,
2017/1/27,915.05,,
2017/1/28,920.31225,,
2017/1/29,915.933,,
2017/1/30,912.19,,
2017/1/31,964.706075,,
2017/2/1,979.703875,,
2017/2/2,983.42,,
2017/2/3,1013.027,,
2017/2/4,1030.999413,,
2017/2/5,1034.07,,
2017/2/6,1024.01375,,
2017/2/7,1050.11,,
2017/2/8,1052.84,,
2017/2/9,976.103,,
2017/2/10,999.1035,,
2017/2/11,997.59,,997.59
2017/2/12,1000.604625,,
2017/2/13,999.877375,,
2017/2/14,1001.2,,
2017/2/15,1012.325988,,
2017/2/16,1035.208125,,
2017/2/17,1035.2,,
2017/2/18,1056.637138,1056.637138,
2017/2/19,1052.779286,,
2017/2/20,1050.87,,
2017/2/21,1123.788429,,
2017/2/22,1123.223188,,
2017/2/23,1130.01,,
