date_time,price,buy_time,sell_time
2020-05-01,8628.77,,
2020-05-02,8824.66,,
2020-05-03,8973.82,,
2020-05-04,8903.95,,
2020-05-05,8885.93,,
2020-05-06,9030.96,,
2020-05-07,9170.79,,
2020-05-08,10002.48,,
2020-05-09,9821.8,,
2020-05-10,9527.39,,
2020-05-11,8754.46,,
2020-05-12,8617.25,,8617.25
2020-05-13,8814.53,,
2020-05-14,9305.93,,
2020-05-15,9790.31,,
2020-05-16,9303.59,,
2020-05-17,9385.7,,
2020-05-18,9669.4,,
2020-05-19,9719.37,,
2020-05-20,9785.74,,
2020-05-21,9510.67,,
2020-05-22,9057.57,,
2020-05-23,9167.26,,
2020-05-24,9178.32,,
2020-05-25,8730.73,,
2020-05-26,8899.66,,
2020-05-27,8842.85,,
2020-05-28,9197.54,,
2020-05-29,9569.21,,
2020-05-30,9425.98,,
2020-05-31,9698.1,,
2020-06-01,9450.84,,
2020-06-02,10204.23,,
2020-06-03,9525.57,,
2020-06-04,9658.04,,
2020-06-05,9794.56,,
2020-06-06,9623.75,,
2020-06-07,9670.43,,
2020-06-08,9753.85,,
2020-06-09,9782.59,,
2020-06-10,9775.15,,
2020-06-11,9892.13,,
2020-06-12,9286.42,,
2020-06-13,9459.97,,
2020-06-14,9473.5,,
2020-06-15,9330.07,,
2020-06-16,9426.7,,
2020-06-17,9526.0,,
2020-06-18,9454.81,,
2020-06-19,9380.03,,
2020-06-20,9300.15,,
2020-06-21,9357.43,,
2020-06-22,9284.78,,
2020-06-23,9691.9,,
2020-06-24,9621.49,,
2020-06-25,9276.58,,
2020-06-26,9240.85,,
2020-06-27,9154.45,,
2020-06-28,9004.23,,
2020-06-29,9127.47,,
2020-06-30,9185.35,,
2020-07-01,9133.97,,
2020-07-02,9236.38,,
2020-07-03,9087.98,,
2020-07-04,9072.42,,
2020-07-05,9131.31,,
2020-07-06,9089.09,,
2020-07-07,9348.91,,
2020-07-08,9256.23,,
2020-07-09,9440.07,,
2020-07-10,9238.04,,
2020-07-11,9287.4,,
2020-07-12,9235.96,,
2020-07-13,9295.9,,
2020-07-14,9238.13,,
2020-07-15,9254.52,,
2020-07-16,9193.51,,
2020-07-17,9131.0,,
2020-07-18,9154.19,,
2020-07-19,9174.71,,
2020-07-20,9214.66,,
2020-07-21,9163.87,,
2020-07-22,9392.66,9392.66,
2020-07-23,9537.4,,
2020-07-24,9613.11,,
2020-07-25,9551.28,,
2020-07-26,9707.5,,
2020-07-27,9938.83,,
2020-07-28,11042.4,,
2020-07-29,10934.94,,
2020-07-30,11102.67,,
2020-07-31,11114.93,,
2020-08-01,11343.88,,
2020-08-02,11823.69,,
2020-08-03,11077.77,,
2020-08-04,11242.57,,
2020-08-05,11194.25,,
2020-08-06,11750.28,,
2020-08-07,11772.94,,
2020-08-08,11605.6,,
2020-08-09,11767.6,,
2020-08-10,11684.06,,
2020-08-11,11893.03,,
2020-08-12,11392.43,,
2020-08-13,11573.11,,11573.11
2020-08-14,11777.43,,
2020-08-15,11774.38,,
2020-08-16,11873.98,,
2020-08-17,11914.01,,
2020-08-18,12293.72,,
2020-08-19,11969.53,,
2020-08-20,11734.0,,
2020-08-21,11865.82,,
2020-08-22,11522.8,,
2020-08-23,11683.44,,
2020-08-24,11653.02,,
2020-08-25,11763.93,,
2020-08-26,11337.4,,
2020-08-27,11467.37,,
2020-08-28,11302.01,,
2020-08-29,11534.75,,
2020-08-30,11481.64,,
2020-08-31,11707.78,,
2020-09-01,11659.57,,
2020-09-02,11923.25,,
2020-09-03,11397.44,,
2020-09-04,10187.51,,
2020-09-05,10467.89,,
2020-09-06,10159.62,,
2020-09-07,10254.93,,
2020-09-08,10367.74,,
2020-09-09,10121.52,,
2020-09-10,10227.83,,
2020-09-11,10352.66,,
2020-09-12,10395.44,,
2020-09-13,10446.44,,
2020-09-14,10330.77,,
2020-09-15,10674.64,,
2020-09-16,10785.62,,
2020-09-17,10948.43,,
2020-09-18,10943.89,,
2020-09-19,10931.79,,
2020-09-20,11081.43,,
2020-09-21,10919.65,,
2020-09-22,10430.46,,
2020-09-23,10532.22,,
2020-09-24,10234.48,,
2020-09-25,10732.43,10732.43,
2020-09-26,10692.84,,
2020-09-27,10732.4,,
2020-09-28,10774.24,,
2020-09-29,10692.33,,
2020-09-30,10840.8,,
2020-10-01,10777.92,,
2020-10-02,10619.24,,
2020-10-03,10575.06,,
2020-10-04,10551.77,,
2020-10-05,10673.46,,
2020-10-06,10788.56,,
2020-10-07,10603.74,,
2020-10-08,10670.8,,
2020-10-09,10923.3,,
2020-10-10,11063.19,,
2020-10-11,11302.67,,
2020-10-12,11376.61,,
2020-10-13,11540.04,,
