buy_time,sell_time,earn,wealth
2016-09-11,2016-10-19,12.225528834553243,1012.2255288345532
2016-10-22,2016-11-04,43.56331568991088,1055.7888445244641
2016-11-17,2016-11-22,0.014326270686651973,1055.803170795151
2016-12-08,2016-12-14,7.091542889636344,1062.8947136847873
2016-12-18,2017-01-06,284.8002387949154,1347.6949524797028
2017-01-17,2017-02-09,107.74969059904481,1455.4446430787475
2017-02-17,2017-03-08,171.79828429783055,1627.242927376578
2017-03-28,2017-04-15,202.13926013250114,1829.3821875090794
2017-04-20,2017-05-16,732.7416391938805,2562.12382670296
2017-05-19,2017-05-28,302.33177983063763,2864.4556065335973
2017-06-03,2017-06-12,149.5982576756109,3014.0538642092083
2017-07-19,2017-08-03,704.4858955457463,3718.5397597549545
2017-08-05,2017-08-19,1024.4626676389446,4743.002427393899
2017-09-23,2017-10-23,2637.1367931773357,7380.139220571235
2017-10-31,2017-11-08,854.8392886574859,8234.97850922872
2017-11-16,2017-12-19,10455.253049073403,18690.231558302123
2018-02-09,2018-02-24,4366.42189429729,23056.653452599414
2018-04-08,2018-04-28,6278.278840719984,29334.932293319398
2018-06-30,2018-07-12,848.0020695787714,30182.93436289817
2018-07-16,2018-07-31,6497.744772304179,36680.67913520235
2018-12-10,2019-01-11,1272.908957946144,37953.58809314849
2019-02-09,2019-02-26,1941.1783873725938,39894.76648052109
2019-03-30,2019-04-13,9279.746316240318,49174.51279676141
2019-05-04,2019-05-19,13976.707465440246,63151.220262201656
2019-06-15,2019-07-01,14848.774256300523,77999.99451850218
2019-08-01,2019-08-13,10066.900638145076,88066.89515664725
2019-10-26,2019-11-08,5461.255297744606,93528.15045439186
2020-01-04,2020-01-21,16597.325949314985,110125.47640370684
2020-02-06,2020-02-16,3313.1906269748333,113438.66703068167
2020-03-20,2020-04-13,13186.84220614121,126625.50923682288
2020-04-23,2020-05-11,28828.075131321846,155453.58436814471
2020-05-30,2020-06-06,3261.6296003691978,158715.2139685139
2020-07-22,2020-08-10,38719.60033552292,197434.81430403684
2020-09-13,2020-09-23,1621.2181729852516,199056.0324770221
2020-10-06,2020-11-03,51414.78850382207,250470.82098084415
2020-11-04,2020-11-16,34737.03256824493,285207.85354908905
2020-11-17,2020-11-27,7269.367144057923,292477.220693147
2020-12-16,2021-01-12,242307.7050854597,534784.9257786067
2021-01-31,2021-02-24,226927.32313891442,761712.2489175211
2021-03-08,2021-03-17,84890.10503592888,846602.35395345
2021-03-30,2021-04-05,8504.268360261261,855106.6223137112
2021-04-11,2021-04-18,4478.959620908704,859585.5819346199
2021-07-22,2021-08-04,161113.51769414137,1020699.0996287613
2021-08-07,2021-08-17,75233.32880854141,1095932.4284373028
