buy_time,sell_time,earn,wealth
2016-09-11,2016-11-02,179.6509289793293,1136.0579103997427
2016-11-04,2017-01-04,736.2301311424972,1812.1211225034003
2017-01-12,2017-02-08,630.9890585861863,2358.0055550177267
2017-02-09,2017-03-04,751.0445650083506,2999.7090065252014
2017-03-08,2017-03-15,259.194410242384,3133.7311683017297
2017-03-18,2017-03-21,547.60331432861,3545.033169611698
2017-03-25,2017-04-11,1141.0941095158798,4521.504070152792
2017-04-15,2017-05-12,2544.553334670901,6834.306175324164
2017-05-16,2017-05-25,2547.2916887303263,9057.279783266917
2017-05-28,2017-06-06,2851.1595686210226,11489.124969184842
2017-06-07,2017-06-11,1007.5771925214368,12016.985619088457
2017-06-15,2017-06-22,1401.252187065075,12909.533337648692
2017-07-02,2017-07-06,1006.1410132318169,13379.170197109925
2017-07-17,2017-07-23,6403.0226188757915,19118.965555723804
2017-07-25,2017-07-31,2280.1960544529243,20588.79906685872
2017-08-02,2017-08-17,12497.828353692707,32013.118890803224
2017-08-22,2017-09-01,7432.207861190324,38016.15783913761
2017-09-04,2017-09-07,2717.7803249243184,39158.93624399794
2017-09-15,2017-09-20,9266.51797842356,46673.76641309311
2017-09-22,2017-10-15,28081.066785585008,72326.2612064427
