buy_time,sell_time,earn,wealth
2016-09-11,2017-01-05,600.0482586664522,1548.047293493123
2017-01-26,2017-02-11,137.96827713681122,1621.3343133474732
2017-04-01,2017-04-24,229.5827313725092,1781.4720175586333
2017-07-20,2017-08-23,1501.913010631431,3182.0878872750905
2017-09-26,2017-11-21,3376.7294745925906,6363.999256884826
2018-04-03,2018-05-04,2012.0693750021842,8081.267274111573
2018-06-14,2018-08-01,1123.2000814915853,8858.752663008863
2020-03-22,2020-04-14,955.752339052472,9441.03984875993
2020-09-16,2020-11-18,6034.65288238746,14977.358079549243
2021-02-05,2021-02-24,4808.0027795898295,19090.106480365306
