buy_time,sell_time,earn,wealth
2016-09-11,2016-11-02,179.6509289793293,1136.0579103997427
2016-11-04,2017-01-04,736.2301311424972,1812.1211225034003
2017-01-12,2017-02-08,630.9890585861863,2358.0055550177267
2017-02-09,2017-03-04,751.0445650083506,2999.7090065252014
2017-03-08,2017-03-15,259.194410242384,3133.7311683017297
2017-03-18,2017-03-21,547.60331432861,3545.033169611698
2017-03-25,2017-04-11,1141.0941095158798,4521.504070152792
2017-04-15,2017-05-12,2544.553334670901,6834.306175324164
2017-05-16,2017-05-25,2547.2916887303263,9057.279783266917
2017-05-28,2017-06-06,2851.1595686210226,11489.124969184842
2017-06-07,2017-06-11,1007.5771925214368,12016.985619088457
2017-06-15,2017-06-22,1401.252187065075,12909.533337648692
2017-07-02,2017-07-06,1006.1410132318169,13379.170197109925
2017-07-17,2017-07-23,6403.0226188757915,19118.965555723804
2017-07-25,2017-07-31,2280.1960544529243,20588.79906685872
2017-08-02,2017-08-17,12497.828353692707,32013.118890803224
2017-08-22,2017-09-01,7432.207861190324,38016.15783913761
2017-09-04,2017-09-07,2717.7803249243184,39158.93624399794
2017-09-15,2017-09-20,9266.51797842356,46673.76641309311
2017-09-22,2017-10-15,28081.066785585008,72326.2612064427
2017-10-18,2017-10-21,5064.826569525244,74396.74079631972
2017-10-25,2017-11-04,23198.64215829523,94155.54047959625
2017-11-12,2017-12-08,183566.90755969135,270284.88826890994
2017-12-10,2017-12-12,43743.98036042256,302342.59349136765
2017-12-14,2017-12-16,60392.45695125232,349433.49756394024
2017-12-26,2017-12-27,47004.5332983898,381520.60029380466
2017-12-30,2018-01-06,118467.58164723414,482358.00629634195
2018-01-11,2018-01-15,25952.111645891222,488496.7554574617
2018-01-17,2018-01-20,80582.21110603768,547927.4521230801
2018-01-26,2018-01-27,27719.586325664553,553175.5486373082
2018-02-05,2018-02-20,368166.0325239982,891851.2385653341
2018-02-25,2018-03-05,167417.59401430236,1020246.431156737
2018-03-10,2018-03-12,50958.805060300925,1029376.2028695624
2018-03-18,2018-03-21,97797.53021546776,1084042.7343659382
2018-03-30,2018-04-04,85675.33965537701,1124642.8578535703
2018-04-06,2018-04-08,70466.90075967919,1148714.706283913
2018-04-09,2018-04-16,286151.2942274909,1383194.3863754976
2018-04-17,2018-04-25,308805.37249791453,1630495.875968434
2018-04-28,2018-05-05,159744.54284507508,1721825.6929178701
2018-05-17,2018-05-20,85237.90738861491,1736485.814441998
2018-05-26,2018-06-07,78835.34347617067,1744285.0184709653
2018-06-13,2018-06-21,122937.06006808131,1794991.9365988465
2018-06-29,2018-07-08,256657.177247759,1974716.2928376964
2018-07-14,2018-07-25,636036.7852575051,2519043.690676544
2018-08-11,2018-09-04,462088.9337843331,2871129.0981581286
2018-09-10,2018-09-22,236987.37115407828,2988531.5579628
2018-10-13,2018-10-16,168476.2540047638,3034097.0245689563
2018-11-27,2018-11-30,388261.398939266,3293229.3145466787
2018-12-15,2018-12-21,906759.869217386,4050124.8137978497
2018-12-28,2018-12-29,182152.96325661323,4066629.7252374166
2019-01-01,2019-01-07,307599.6958783115,4205412.238188665
2019-01-14,2019-01-20,204819.70724844394,4237919.061764594
2019-02-08,2019-02-24,929836.4638338912,4979642.033851224
2019-03-05,2019-04-11,2107717.1949080015,6846019.203507016
2019-04-12,2019-04-24,656916.1032095951,7215956.216512139
2019-04-26,2019-05-16,4182249.3980920124,11025922.377981827
2019-05-19,2019-05-20,1409380.9149713807,11966078.779534508
2019-05-23,2019-05-28,1795289.192797312,13246819.037294492
2019-05-31,2019-06-03,747125.8075869224,13449129.567237897
2019-06-05,2019-06-08,565049.8702595881,13464913.257402778
2019-06-10,2019-06-27,9325893.228862625,22065692.09139204
2019-06-28,2019-06-29,2460695.7545878384,23594546.24723244
2019-07-02,2019-07-04,3136000.9344664314,25724045.313120246
2019-07-06,2019-07-10,3831241.7905163663,28449700.455301475
2019-07-15,2019-07-16,1917339.1620839487,29190704.815931685
2019-07-17,2019-07-21,4246662.787383056,32184806.154929813
2019-07-28,2019-08-09,8569103.275527848,39295135.11874991
2019-08-15,2019-08-20,3531751.1647656164,41184445.85547022
2019-08-30,2019-09-04,4936028.275642733,44374375.73138129
2019-10-07,2019-10-10,4049535.2022764958,46567945.200357005
2019-10-25,2019-10-28,13281728.273786549,57721321.100653544
2019-11-25,2019-11-30,7103564.789650606,62373961.750484996
2019-12-05,2019-12-07,3072716.601439875,62890265.549876675
2019-12-18,2019-12-23,8582006.633726887,68785021.42893396
2020-01-03,2020-01-08,12095643.649960246,77887351.34873764
2020-01-10,2020-01-19,10888500.126577893,85442587.41883448
2020-01-26,2020-02-15,20943353.735361792,102549370.58273566
2020-02-18,2020-02-19,5037890.415965663,103384528.36707258
2020-03-01,2020-03-07,7531632.130175084,106630146.71996126
2020-03-13,2020-03-14,17192977.29673041,119214058.6019586
2020-03-17,2020-03-21,28463517.181975864,142339743.09621662
2020-03-23,2020-03-25,23122733.88997022,159306432.58453876
2020-03-30,2020-04-09,40050393.05345511,192183560.47354323
2020-04-16,2020-04-19,18440198.02750159,202567612.12155306
2020-04-21,2020-05-08,93646919.66294456,286238888.9063766
2020-05-12,2020-05-15,38965492.589923,312975516.0882461
2020-05-16,2020-05-20,16219668.437876964,316351770.51383567
2020-05-25,2020-06-02,53391220.8775368,356021096.15326834
2020-06-22,2020-06-23,15610850.086476818,357078885.39188486
2020-06-28,2020-08-02,111810741.6410958,452370256.7844834
2020-08-03,2020-08-11,33291842.63133447,466901452.2918118
2020-08-12,2020-08-18,36938002.68565061,484424636.83207697
2020-08-28,2020-09-02,26627472.58103288,491142574.4882061
2020-09-09,2020-09-20,46579235.991923526,517144522.7807629
2020-09-24,2020-11-07,270904018.4297861,761944679.9307227
2020-11-08,2020-11-25,222459438.6356082,949477142.5963898
2020-11-28,2020-12-01,142423205.66147915,1051072798.4407837
2020-12-12,2020-12-20,340492049.8376704,1342712095.3440695
2020-12-22,2021-01-09,1058135747.6413124,2325976644.218793
2021-01-13,2021-01-15,351965513.63522017,2577863781.8125567
2021-01-22,2021-01-23,184522464.1113535,2655581245.3691807
2021-01-28,2021-02-22,2363085695.65548,4865181977.296783
2021-03-01,2021-03-04,578441549.4416122,5237447416.657692
2021-03-05,2021-03-14,1384773334.7736828,6385027388.069593
2021-03-16,2021-03-18,361686047.37307316,6484078618.972422
2021-03-26,2021-04-06,963253397.5053403,7168703803.768759
2021-04-08,2021-04-14,974731180.1794016,7837192208.193822
2021-04-26,2021-05-02,1402440786.1706672,8898096490.313322
2021-05-05,2021-05-09,950462824.4372263,9473626198.649271
2021-05-20,2021-05-21,979046137.2603916,10054146365.218483
2021-05-24,2021-05-27,1305132547.4796438,10931010407.139795
2021-05-30,2021-06-04,1432617078.6661623,11897734727.947042
2021-06-09,2021-06-10,1382964199.5205956,12777130254.359344
2021-06-13,2021-06-15,1810977481.1777592,14040802975.739174
2021-06-22,2021-06-25,1308444884.3705573,14761446843.392754
2021-06-26,2021-06-30,1962769906.3599482,16094503477.889793
2021-07-02,2021-07-05,850592537.3583207,16284304025.385357
2021-07-21,2021-07-31,6791309087.2723875,22288414769.89688
2021-08-04,2021-08-10,4789548788.874589,26090635992.198105
2021-08-13,2021-08-14,2006647578.4369972,27013525179.378437
2021-08-18,2021-08-24,2949457156.247274,28823452185.325626
2021-08-27,2021-08-28,1285230827.0205975,28930040308.392788
2021-08-31,2021-09-07,3443124878.422366,31147101076.910995
